ticker_b3,M0 (RW),M1 (GARCH),M2 (GARCH-X ΔSVI),M3 (GARCH-X log-dev)
AALR3,3.7348021399119165,0.7451596541275654,0.7905847599598215,0.771317409776676
ABCB4,1.014763662247267,0.3484684154296008,0.3707696620860068,0.3484679012564127
ABEV3,1.4399665989833217,0.5798642278224023,0.6017309789282158,0.5743460063664458
AERI3,3.9247184546229055,1.9250371898547065,1.618288146282058,1.9761658487860954
AFLT3,39.8193251696783,1.3208889913435067,1.3142380587311178,1.3141371297786109
AGRO3,1.5897715938053796,0.5412398277862596,0.5425639434880587,0.5814593212752551
AHEB3,12.703689477083959,2.411256597332024,2.3016317363196213,2.301885333979911
ALOS3,0.8946351459753569,0.40748603033847575,0.40957542876090425,0.4095741044993525
ALPA3,1.2345668065129787,0.8857335443391404,0.8827480415383405,0.882749818969703
ALPA4,3.3438703088319364,0.7036296118603699,0.704807741903041,0.7048028568341372
ALPK3,1.0289874889732098,0.5151652406599259,0.506545092741324,0.5065388088317915
ALUP11,0.724499331810829,0.5092512473857433,0.5118838553841346,0.5080676934080592
ALUP3,1.160601358967426,1.0514237873578973,0.9612949939278366,1.0495169242060858
ALUP4,0.9071732787419485,0.6026572145104362,0.5872499288262044,0.5930414894428956
AMAR3,3.045488466162356,0.9797445665344754,1.154312219732857,1.1569805199317047
AMBP3,2.2322512883871184,1.729230564536905,1.7464754657464638,1.765898387431747
ANIM3,1.9539420716724998,0.4515498349868716,0.4700527633030374,0.45506417660082343
ASAI3,3.4313029741947263,0.46348374731259795,0.5766757114751913,0.47978250501028963
AVLL3,1.8739739753241504,0.9204402198410531,0.929923414122448,0.9204377547553194
AXIA3,1.7763167510545448,0.9954630789385079,0.9951423274708381,0.9951608576900867
AXIA5,2705.6673244091953,22.369185563341738,22.498741693751075,22.49874347434183
AXIA6,5.864311410944016,0.6112985496194765,0.6135311137720378,0.6135311056232523
AZZA3,1.4121020529518584,0.5875999702426297,1.1382581193938872,0.5816998664448606
B3SA3,2.37456670465664,0.5059809086249926,0.5082753847700036,0.5061015209925215
BALM4,34.23458667108521,1.5046989040150471,1.503548102981855,1.5035508685865806
BAZA3,3.2492907229741532,0.8671492045563266,0.9163888711783195,0.9183530539274489
BBAS3,1.2096141806235026,0.6887441151571821,0.8352481063758789,0.6887556489752416
BBDC3,1.7755405742657742,0.5812477691060536,0.571558657459981,0.5833023056886808
BBDC4,1.7643239632293797,0.5822197486684553,0.9354457929754348,0.5773879149125454
BBSE3,1.0429074621789005,0.5861380579112082,0.6035237991802926,0.586536270219457
BDLL4,89.79141848246512,1.0392544432019986,1.0425779654379457,1.0425735557187688
BEEF3,1.2948744280889304,0.5272651274995331,0.5229357290865048,0.5273250861282057
BEES3,4.269373357990223,0.6567218613187673,0.6567902944087396,0.6467530058382983
BEES4,1.9997588822313883,0.6618424060284328,0.6464343479767353,0.6631098481018459
BGIP3,59.72739146954246,2.0950418861248785,2.0501829566566125,2.0501817959391615
BGIP4,1.515082099676758,0.5518138387141216,0.5560919240234854,0.5481142316164542
BHIA3,1.3491204201374234,0.7263917614240291,0.7257166957689973,0.7256903389979159
BIOM3,5.0700612881778095,0.8243909146025665,0.8579260308452885,0.8499176555861103
BMEB3,280.93567950593103,1.288241996400418,1.3087551591115079,1.3079091549145325
BMEB4,1.0841674154101866,0.5393544537259212,1.067581350373419,0.5259301299679152
BMGB4,2.6309272546378004,0.8964561939118139,0.8590437452615688,0.9184834662056646
BMIN4,93.36202353283332,2.0975659198130665,2.072604875386858,2.0872803928497317
BMKS3,3.8097792973099374,1.5155400538192176,1.5222902019125337,1.5489688588336477
BMOB3,1.9411414156132716,0.47899940753327236,0.4666228290904354,0.4776603058432223
BNBR3,2047.7560925880439,1.4496364913671684,1.4213527353858426,1.484109825167352
BOBR4,3.4247709680156655,0.9705803289071704,0.9641846031014898,0.96531606853015
BPAC11,1.2643546891106419,0.4548670586458237,0.48577109201529733,0.45478403574669485
BPAC3,0.7904513351845776,0.6408168612955661,0.6400303308587002,0.6403461167733258
BPAC5,1.5330282596343903,0.5559410506703165,0.5533950828269256,0.554262922055903
