ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario
MDNE3,-2.3792,0.1477,False,-10.114,0.0,True
MEAL3,-3.717,0.0039,True,-9.8659,0.0,True
MELK3,-0.4346,0.9042,False,-8.3891,0.0,True
MERC4,-13.0695,0.0,True,-8.785,0.0,True
MGEL4,-16.3643,0.0,True,-8.4676,0.0,True
MGLU3,-1.8535,0.3542,False,-11.2615,0.0,True
MILS3,-3.8779,0.0022,True,-11.0951,0.0,True
MNDL3,-16.2477,0.0,True,-8.4676,0.0,True
MNPR3,-3.6402,0.005,True,-7.759,0.0,True
MOVI3,-3.1081,0.026,True,-11.3317,0.0,True
MRSA5B,-16.1245,0.0,True,-10.6351,0.0,True
MRVE3,-4.5009,0.0002,True,-7.7236,0.0,True
MTRE3,-1.5138,0.5267,False,-12.527,0.0,True
MTSA4,-6.0235,0.0,True,-10.1524,0.0,True
MULT3,-2.7604,0.0642,False,-8.5326,0.0,True
MWET4,-7.8905,0.0,True,-7.7184,0.0,True
MYPK3,-4.4748,0.0002,True,-8.7998,0.0,True
NEOE3,-3.1842,0.0209,True,-13.1841,0.0,True
NEXP3,-3.7654,0.0033,True,-10.6936,0.0,True
NGRD3,-3.3136,0.0143,True,-13.8203,0.0,True
NUTR3,-10.6348,0.0,True,-8.7136,0.0,True
ODPV3,-0.5254,0.887,False,-3.6672,0.0046,True
OFSA3,-10.4846,0.0,True,-11.7415,0.0,True
OIBR3,-1.8292,0.366,False,-10.3793,0.0,True
OIBR4,-2.8183,0.0557,False,-9.6539,0.0,True
OPCT3,-3.5946,0.0059,True,-9.4989,0.0,True
ORVR3,-14.0646,0.0,True,-8.3629,0.0,True
OSXB3,-5.0972,0.0,True,-4.6481,0.0001,True
PATI3,-7.5056,0.0,True,-7.2575,0.0,True
PATI4,-16.1245,0.0,True,-8.4676,0.0,True
PCAR3,-4.7352,0.0001,True,-7.3136,0.0,True
PDGR3,-5.3025,0.0,True,-11.0163,0.0,True
PDTC3,-2.5356,0.107,False,-5.2556,0.0,True
PEAB3,-16.2458,0.0,True,-8.9629,0.0,True
PEAB4,-7.4136,0.0,True,-7.674,0.0,True
PETR3,-2.3691,0.1507,False,-9.0886,0.0,True
PETR4,-3.3349,0.0134,True,-9.427,0.0,True
PFRM3,-5.7429,0.0,True,-7.2101,0.0,True
PGMN3,-5.5741,0.0,True,-9.3717,0.0,True
PINE3,-12.7125,0.0,True,-8.6113,0.0,True
PINE4,-2.8321,0.0538,False,-5.8372,0.0,True
PLAS3,-16.2507,0.0,True,-27.7669,0.0,True
PLPL3,-2.5851,0.0961,False,-9.1364,0.0,True
PMAM3,-5.6199,0.0,True,-6.1921,0.0,True
PNVL3,-2.6417,0.0847,False,-8.7563,0.0,True
POMO3,-1.123,0.7058,False,-9.4644,0.0,True
POMO4,-3.1918,0.0205,True,-13.3032,0.0,True
POSI3,-5.6048,0.0,True,-4.7684,0.0001,True
