ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3
AALR3,95,0.2280544412221146,0.9052631338435375,9.473684210526317,0.9303812574371416,0.9170551134912884,7.368421052631578,0.9798861593583612,1.0360171120851471,1.0302220191548066
ABCB4,95,0.01070517518284587,0.9484415771710094,4.2105263157894735,1.0520393538915588e-8,0.9999999505671365,0,0.9901848108588971,0.9902012455728336,0.9901836041343226
ABEV3,95,0.12033176798557797,0.8007521469966379,18.947368421052634,1.4102680517943291,0.817873581944244,15.789473684210526,0.9348696767533241,0.9264710118038395,0.8654038685529224
AERI3,95,0.8963079130538061,0.6862132041878953,30.526315789473685,10.891600993347861,0.8105265107364503,18.947368421052634,0.9593787346063625,0.9339651707528993,0.9441963155938391
AFLT3,95,9.429059230102504e-9,0.9999998904022908,0,1.050226324414933e-8,0.9999999706571044,0,0.9736285442212941,0.9875091983849659,0.9861953878086468
AGRO3,95,0.03392159818694345,0.9072740595236183,9.473684210526317,0.06699126653597798,0.9689296112485993,3.1578947368421053,0.9929300343181264,0.9938928583581292,0.9925874876700753
AHEB3,95,9.890320676094865e-9,0.9999998531078664,0,9.947557407398876e-9,0.9999999317058275,0,0.7581425546393609,0.9673717406444119,0.9665594035890704
ALOS3,95,2.1242457137727914e-8,0.9999997634067661,0,7.90979029703137e-9,0.9999999865009529,0,0.9880440120523213,0.9885355134132976,0.9885360439493979
ALPA3,95,1.1122374380181026e-8,0.9999999963070096,0,1.0646490828209166e-8,0.9999999799272872,0,0.9885927976427895,0.9853329257962419,0.9853329861018927
ALPA4,95,1.2536847738035542e-8,0.9999999901155637,0,1.0849369193052069e-8,0.9999999958353823,0,0.986043824575348,0.9860428855066928,0.9860463972000376
ALPK3,95,0.7755886442808453,0.484493141157588,51.578947368421055,6.037854207140539,0.55789511288274,44.21052631578947,0.9595492951384709,0.8469706202894932,0.7931138292778659
ALUP11,95,0.004788104703424908,0.9500124736110581,2.1052631578947367,0.05866510009811789,0.9810454420534516,1.0526315789473684,0.9906379935260607,0.991651836184211,0.9812682807365057
ALUP3,95,0.06969424920189612,0.03270599970418137,95.78947368421052,0.43110162011844577,0.5579645418952905,44.21052631578947,0.5730095853938216,0.46823728570317547,0.4578308761690163
ALUP4,95,0.017877303362131197,0.8761638157030444,11.578947368421053,0.018248109288795687,0.9488428874978516,0,0.989763909272862,0.9760912244971712,0.9736766117371137
AMAR3,95,0.05858067604049771,0.9894736449204209,1.0526315789473684,0.9367475868436226,0.9894736895732354,1.0526315789473684,0.9883355674765203,0.9894490769632815,0.9808940646857179
