ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3,svi_zeros_pct
BOBR4,95,0.0067,0.9895,1.0526,0.0103,0.9895,1.0526,0.9953,0.9938,0.9956,0.8238
BPAC11,95,0.4562,0.2488,72.6316,2.9942,0.8319,16.8421,0.9019,0.8816,0.7784,0.0
BPAC3,95,0.0072,0.9925,0.0,0.0,1.0,0.0,0.9937,0.994,0.9942,0.7854
BPAC5,95,0.0121,0.9487,4.2105,0.0,1.0,0.0,0.8887,0.887,0.8886,0.9425
BRAP3,95,0.0072,0.958,4.2105,0.0,1.0,0.0,0.9945,0.9914,0.9945,0.1226
BRAP4,95,0.033,0.9481,4.2105,0.0,1.0,0.0,0.9941,0.978,0.9941,0.0
BRAV3,95,0.7064,0.5935,37.9747,15.5474,0.7468,21.519,0.8186,0.793,0.7428,0.6897
BRKM3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9926,0.9928,0.9927,0.6207
BRKM5,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9734,0.9715,0.9739,0.0
BRKM6,95,0.0,1.0,0.0,0.7195,0.963,0.0,0.9764,0.8784,0.8798,0.977
BRSR3,95,0.0118,0.9372,6.3158,0.0,1.0,0.0,0.9882,0.9839,0.9903,0.7893
BRSR5,95,0.4011,0.4413,54.7619,0.7656,0.9476,0.0,0.6021,0.5403,0.5793,0.9885
BRSR6,95,0.1117,0.768,23.1579,0.1113,0.9895,1.0526,0.956,0.9606,0.9481,0.0
BSLI3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9953,0.9962,0.9962,0.9387
CAMB3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9876,0.9877,0.9877,0.6743
CAML3,95,0.0511,0.9368,6.3158,0.3146,0.9789,2.1053,0.9848,0.9717,0.961,0.0077
CASH3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9951,0.9962,0.9962,0.0
CBEE3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9546,0.9954,0.9956,0.9808
CEAB3,95,0.5549,0.8856,10.5263,1.3694,0.9685,3.1579,0.9861,0.9765,0.9767,0.0
CEBR3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9926,0.9925,0.9926,0.6705
CEBR5,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9511,0.9515,0.9516,0.9655
CEBR6,95,0.0704,0.8211,17.8947,0.024,0.98,1.0526,0.9914,0.9931,0.9914,0.6437
CEDO3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9899,0.9976,0.9976,0.9962
CEDO4,95,3.3187,0.0211,97.8947,30.5263,0.698,30.5263,0.9934,0.8085,0.9393,0.9732
CEEB3,95,0.078,0.6746,2.1053,0.4279,0.8092,0.0,0.9622,0.9817,0.9594,0.9502
CEEB5,95,0.0036,0.9895,1.0526,0.9599,0.8655,11.5789,0.9576,0.9727,0.9824,0.9808
CGAS3,95,0.2591,0.706,29.4737,6.349,0.8291,12.6316,0.9216,0.8317,0.7371,0.9387
CGAS5,95,0.2456,0.15,84.2105,0.0585,0.9053,5.2632,0.999,1.0693,1.317,0.8161
CGRA3,95,0.1697,0.5707,41.0526,0.0493,0.9481,0.0,0.9344,0.9623,0.9303,0.9425
CGRA4,95,0.049,0.8842,11.5789,0.0346,0.9249,2.1053,0.9856,0.98,0.9871,0.8084
CLSC4,95,0.2319,0.2922,64.2105,1.2548,0.4396,55.7895,0.8481,0.8675,0.7577,0.8812
CMIG3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9953,0.9954,0.9954,0.023
CMIG4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9976,0.9982,0.9978,0.0
CMIN3,95,0.2836,0.7822,20.0,4.7098,0.8671,11.5789,0.979,0.946,0.8606,0.0
COCE5,95,0.0116,0.9503,1.0526,0.3135,0.962,0.0,0.9649,0.97,0.9536,0.9157
COGN3,95,0.0236,0.9895,1.0526,0.5051,0.9895,1.0526,0.9869,0.988,0.9815,0.0
CPFE3,95,0.0315,0.7898,14.7368,0.0,1.0,0.0,0.9844,0.9618,0.9846,0.0
CPLE3,95,0.2753,0.1714,82.1053,7.087,0.2133,78.9474,0.6913,0.6792,0.5641,0.0
CRPG5,95,0.2564,0.7158,28.4211,0.078,0.9686,3.1579,0.9868,1.0846,1.0841,0.751
CRPG6,95,0.2508,0.653,34.7368,0.0,1.0,0.0,0.995,1.0437,1.0705,0.977
CSAN3,95,0.1187,0.8993,8.4211,0.1234,0.9835,1.0526,0.9826,0.9851,0.9785,0.0
CSED3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9962,0.9959,0.996,0.7433
CSMG3,95,0.0253,0.9684,3.1579,0.5478,0.9789,2.1053,0.9795,0.9767,0.9704,0.0
CSNA3,95,0.9451,0.3158,68.4211,10.6823,0.6662,7.3684,0.7854,0.6864,0.6326,0.0
CSUD3,95,0.0387,0.7895,21.0526,0.0,1.0,0.0,0.9948,0.9966,0.9957,0.5096
CTKA4,95,0.0,1.0,0.0,27.9791,0.3963,34.7368,0.8134,0.8134,0.8834,0.9847
CTSA3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.992,0.9753,0.9755,0.931
