ticker_yf,dias,vol_fin_medio
HBRE3.SA,1243,1473313.02
UNIP6.SA,1243,13764087.38
TASA4.SA,1243,9287234.9
FRAS3.SA,1243,5345432.04
LOGG3.SA,1243,6713577.34
LEVE3.SA,1243,9686637.25
PTBL3.SA,1243,6856080.35
DEXP3.SA,1243,1852846.72
TAEE4.SA,1243,2168427.59
ENJU3.SA,1243,3428930.59
LPSB3.SA,1243,900086.59
ITSA3.SA,1243,1442195.58
BRBI11.SA,1165,2866310.62
MEAL3.SA,1243,2949544.15
ALLD3.SA,1229,855166.44
CMIG3.SA,1243,5192494.85
AMAR3.SA,1243,7822490.65
RCSL3.SA,1243,8009596.25
SANB4.SA,1243,1753664.46
ALPK3.SA,1243,696490.4
AERI3.SA,1243,12489191.82
RAPT3.SA,1243,207515.16
TAEE3.SA,1243,1090273.14
SANB3.SA,1243,1416549.01
BRAP3.SA,1243,1792582.57
SAPR3.SA,1243,1568363.19
ETER3.SA,1243,6931479.59
MATD3.SA,1207,4037520.93
SHOW3.SA,1243,1013955.59
TPIS3.SA,1243,1103490.14
GOAU3.SA,1243,810036.53
RNEW4.SA,1243,326530.76
VIVR3.SA,1243,3226885.09
BIOM3.SA,1243,441877.6
PTNT4.SA,1243,104513.69
LAND3.SA,1146,1154659.22
AALR3.SA,1243,4945228.13
PDGR3.SA,1243,38483946703.59
BOBR4.SA,1243,136299.56
GGBR3.SA,1243,1148774.28
TCSA3.SA,1243,1030180.03
RNEW3.SA,1243,169055.75
CSUD3.SA,1243,1740579.41
UCAS3.SA,1243,132077.78
BRKM3.SA,1243,643801.76
EUCA4.SA,1243,811148.94
IGTI3.SA,1243,1541442.71
IGTI3.SA,1243,1541442.71
DMVF3.SA,1243,551371.9
BPAC5.SA,1243,91808.23
CAMB3.SA,1243,383068.1
BMEB4.SA,1243,351876.07
RSID3.SA,1243,350840.92
INEP3.SA,1243,964233.24
MNPR3.SA,1243,175098.77
NGRD3.SA,1243,2012481.78
TECN3.SA,1243,3041230.43
FICT3.SA,1243,184905.7
DOTZ3.SA,1195,327206.86
SCAR3.SA,1243,441778.9
AGXY3.SA,1156,1291029.42
PDTC3.SA,1243,305133.77
ALUP4.SA,1243,185358.99
CGRA4.SA,1243,251290.19
BPAC3.SA,1243,151380.52
BSLI3.SA,1243,59831.88
BAZA3.SA,1243,188058.22
WHRL4.SA,1243,56618.75
EALT4.SA,1243,217263.33
MGEL4.SA,1243,51117.71
TASA3.SA,1243,412293.22
UNIP3.SA,1243,1144978.16
ALPA3.SA,1243,108254.06
ALUP3.SA,1243,139771.41
WEST3.SA,1243,935313.06
EPAR3.SA,1243,42259.51
LOGN3.SA,1243,7258149.27
COCE5.SA,1243,1047236.6
BEES3.SA,1243,118079.33
ENGI4.SA,1243,133493.46
TRAD3.SA,1155,3228166.21
FHER3.SA,1243,6481490.86
PINE3.SA,1243,13724.3
HAGA4.SA,1243,73111.56
WHRL3.SA,1243,20858.97
BMEB3.SA,1243,24727.41
EQPA3.SA,1243,87471.94
LUXM4.SA,1243,32914.9
HAGA3.SA,1243,48767.69
DEXP4.SA,1243,50237.76
BRSR3.SA,1243,76323.32
HOOT4.SA,1243,45216.41
MWET4.SA,1243,50591.56
REDE3.SA,1243,23328.82
CEBR5.SA,1243,53065.41
OFSA3.SA,1243,246030.97
WLMM4.SA,1243,41614.14
TELB4.SA,1243,80664.97
NUTR3.SA,1243,15047.58
CGRA3.SA,1243,66868.36
BALM4.SA,1243,10321.36
CTSA3.SA,1243,48211.23
CTKA4.SA,1243,25510.51
OIBR4.SA,1243,1100588.91
INEP4.SA,1241,506099.12
CEBR6.SA,1243,155889.92
BEES4.SA,1243,33435.12
RSUL4.SA,1243,160520.18
EMAE4.SA,1243,247139.08
ENGI3.SA,1243,102610.61
RPAD6.SA,1243,37097.62
NEXP3.SA,1243,338795.8
RPMG3.SA,1243,133819.74
CRPG5.SA,1243,305173.65
AVLL3.SA,1243,82051.92
ISAE3.SA,1238,71890.45
CEBR3.SA,1243,85636.92
EKTR4.SA,1243,20744.01
OSXB3.SA,1243,77994.04
